Source,Target,Type,Weight
seguro,pensionistas,Undirected,1
pensionistas,psoe,Undirected,1
psoe,pp,Undirected,17
pp,abuelos,Undirected,1
abuelos,barrio,Undirected,1
barrio,salamanca,Undirected,1
salamanca,añoranza,Undirected,1
añoranza,pasaron,Undirected,1
pasaron,vox,Undirected,1
pp,vox,Undirected,60
vox,gobernar,Undirected,18
gobernar,españa,Undirected,17
españa,sacar,Undirected,16
sacar,frankestein,Undirected,16
frankestein,frankeatein,Undirected,16
frankeatein,vol,Undirected,13
vol,eta,Undirected,13
eta,gobernar,Undirected,13
gobernar,destrucción,Undirected,16
destrucción,españa,Undirected,17
tragó,agua,Undirected,1
agua,fuente,Undirected,1
fuente,chiquita,Undirected,1
chiquita,seguramente,Undirected,1
seguramente,x,Undirected,1
x,qué,Undirected,5
qué,ignorancia,Undirected,1
ignorancia,atrevida,Undirected,3
atrevida,peligrosa,Undirected,1
intento,reflejo,Undirected,1
reflejo,derecha,Undirected,1
derecha,cobarde,Undirected,4
cobarde,acomplejada,Undirected,1
acomplejada,moleste,Undirected,1
moleste,dejen,Undirected,1
dejen,trabajar,Undirected,2
tuit,broma,Undirected,1
importa,messi,Undirected,2
messi,enfoquen,Undirected,1
enfoquen,gallardo,Undirected,1
resumen,cambiar,Undirected,1
cambiar,ley,Undirected,1
ley,permitiendo,Undirected,1
permitiendo,jueces,Undirected,1
jueces,fascistas,Undirected,1
fascistas,cometan,Undirected,1
cometan,aberraciones,Undirected,1
aberraciones,suda,Undirected,1
suda,diga,Undirected,1
diga,razonable,Undirected,1
razonable,reconocer,Undirected,1
reconocer,fallo,Undirected,1
fallo,diferencia,Undirected,1
diferencia,gentuza,Undirected,1
gentuza,vox,Undirected,1
ospina,lesionado,Undirected,2
lesionado,gravedad,Undirected,1
abascal,acusa,Undirected,3
acusa,feijóo,Undirected,1
feijóo,impulsar,Undirected,1
impulsar,cordón,Undirected,1
cordón,sanitario,Undirected,4
sanitario,vox,Undirected,1
vox,buscar,Undirected,2
buscar,ruptura,Undirected,3
ruptura,gobierno,Undirected,3
gobierno,castilla,Undirected,7
castilla,león,Undirected,115
león,via,Undirected,2
echar,loca,Undirected,1
loca,déspota,Undirected,1
abascal,buscando,Undirected,1
buscando,pretextos,Undirected,1
pretextos,presentar,Undirected,1
presentar,moción,Undirected,1
moción,censura,Undirected,5
censura,fracasar,Undirected,1
correcta,respuesta,Undirected,1
respuesta,abascal,Undirected,1
abascal,vox,Undirected,2
vox,actuado,Undirected,1
actuado,honradez,Undirected,1
honradez,coherencia,Undirected,1
gastar,guita,Undirected,1
salga,foto,Undirected,1
foto,lionel,Undirected,1
lionel,andrés,Undirected,2
andrés,messi,Undirected,2
messi,marcelo,Undirected,4
gallardo,acabaré,Undirected,1
acabaré,aviso,Undirected,1
experiencia,grado,Undirected,1
grado,sugiero,Undirected,1
sugiero,encuesta,Undirected,1
encuesta,consumidores,Undirected,1
consumidores,camellos,Undirected,1
camellos,verá,Undirected,1
verá,prefieren,Undirected,1
prefieren,legalización,Undirected,1
legalización,razón,Undirected,1
razón,aficionados,Undirected,1
aficionados,velocidad,Undirected,1
velocidad,preferimos,Undirected,1
preferimos,redares,Undirected,1
redares,represión,Undirected,1
represión,prohibición,Undirected,1
prohibición,reduce,Undirected,1
reduce,consumo,Undirected,1
habria,remix,Undirected,1
querida,ignorante,Undirected,1
ignorante,cañada,Undirected,1
cañada,real,Undirected,2
real,extiende,Undirected,1
extiende,ancho,Undirected,1
ancho,municipios,Undirected,1
municipios,gobierna,Undirected,2
gobierna,pp,Undirected,4
pp,municipios,Undirected,1
gobierna,psoe,Undirected,2
psoe,pd,Undirected,1
pd,canaliza,Undirected,1
canaliza,ignorancia,Undirected,1
ignorancia,demagogia,Undirected,1
demagogia,barata,Undirected,1
barata,adecuadamente,Undirected,1
adecuadamente,ridículo,Undirected,1
ridículo,gracias,Undirected,1
inquietudes,espiritas,Undirected,1
espiritas,vueltas,Undirected,1
vueltas,aborto,Undirected,1
suena,american,Undirected,1
american,history,Undirected,1
history,x,Undirected,1
x,pondría,Undirected,1
pondría,boca,Undirected,1
boca,mujer,Undirected,1
mujer,digo,Undirected,2
digo,iba,Undirected,1
iba,qué,Undirected,1
qué,fascista,Undirected,1
fascista,descerebrado,Undirected,1
sacrificar,siesta,Undirected,1
siesta,x,Undirected,1
x,verlo,Undirected,1
verlo,dirigir,Undirected,1
dirigir,gallardo,Undirected,8
cuéntales,habéis,Undirected,1
habéis,ley,Undirected,1
ley,permite,Undirected,1
permite,excarcelar,Undirected,1
excarcelar,violadores,Undirected,2
gallardo,afecta,Undirected,1
afecta,partido,Undirected,1
partido,choto,Undirected,1
choto,llevo,Undirected,1
llevo,tarasca,Undirected,1
tarasca,gana,Undirected,1
gana,combinado,Undirected,1
combinado,españoles,Undirected,1
españoles,mexicanos,Undirected,1
mexicanos,dolidos,Undirected,1
dolidos,usarlo,Undirected,1
usarlo,excusa,Undirected,1
excusa,infumables,Undirected,1
infumables,prefiero,Undirected,1
prefiero,gane,Undirected,1
gane,leo,Undirected,1
leo,pity,Undirected,1
pity,meta,Undirected,1
meta,descuento,Undirected,1
entiendo,vuelta,Undirected,1
vuelta,pp,Undirected,1
pp,apafuegos,Undirected,1
apafuegos,bronkas,Undirected,1
bicho,llamó,Undirected,1
llamó,acercarse,Undirected,1
acercarse,puesto,Undirected,1
puesto,vox,Undirected,1
