Source,Target,Type,Weight
merecemos,gobernados,Undirected,1
gobernados,gente,Undirected,1
gente,capaz,Undirected,1
capaz,tamaña,Undirected,1
tamaña,infamia,Undirected,1
infamia,tiempo,Undirected,1
tiempo,terminando,Undirected,1
terminando,señor,Undirected,1
señor,quetevotetxapote,Undirected,1
supremo,tumba,Undirected,1
tumba,denuncia,Undirected,1
denuncia,montero,Undirected,1
montero,rosell,Undirected,1
rosell,llamar,Undirected,1
llamar,machistas,Undirected,1
machistas,fascistas,Undirected,2
fascistas,jueces,Undirected,1
juanfer,quintero,Undirected,1
quintero,recordó,Undirected,1
recordó,marcelo,Undirected,1
gallardo,enojó,Undirected,1
enojó,presentado,Undirected,1
presentado,junior,Undirected,1
exactamente,demuestran,Undirected,1
demuestran,vox,Undirected,1
vox,jugando,Undirected,1
jugando,cartas,Undirected,1
cartas,haga,Undirected,1
haga,ilusiones,Undirected,1
ilusiones,gobernar,Undirected,1
gobernar,atajo,Undirected,1
atajo,estafadores,Undirected,1
estafadores,forman,Undirected,1
forman,pp,Undirected,1
pp,quieren,Undirected,4
quieren,remedio,Undirected,1
remedio,cumplirán,Undirected,1
ponte,pin,Undirected,1
pin,vean,Undirected,1
vean,sirves,Undirected,1
dices,ley,Undirected,1
violadores,calles,Undirected,3
leído,tema,Undirected,1
latido,idea,Undirected,1
idea,embarazos,Undirected,5
embarazos,vía,Undirected,2
anda,mira,Undirected,1
cuadra,totalmente,Undirected,1
totalmente,expresiones,Undirected,1
expresiones,fhuresa,Undirected,1
lloras,terrucos,Undirected,1
terrucos,incendian,Undirected,1
incendian,comisarías,Undirected,1
comisarías,terrucos,Undirected,1
terrucos,maltratan,Undirected,1
maltratan,policía,Undirected,1
dieran,tiempo,Undirected,1
tiempo,mirar,Undirected,1
mirar,encuesta,Undirected,2
encuesta,nacional,Undirected,2
nacional,tiempo,Undirected,2
vox,pegar,Undirected,1
pegar,subidón,Undirected,1
subidón,brutal,Undirected,1
brutal,roben,Undirected,1
roben,elecciones,Undirected,1
kim,caso,Undirected,1
caso,castro,Undirected,1
castro,resto,Undirected,1
resto,pueblo,Undirected,1
pueblo,hundido,Undirected,1
hundido,absoluta,Undirected,1
absoluta,miseria,Undirected,1
miseria,genere,Undirected,1
genere,igualdad,Undirected,1
igualdad,desregulacion,Undirected,1
desregulacion,rige,Undirected,1
rige,conjunto,Undirected,1
conjunto,voluntados,Undirected,1
voluntados,par,Undirected,1
par,funcionarios,Undirected,1
luisito,estáis,Undirected,1
estáis,amigos,Undirected,1
amigos,asesinos,Undirected,1
asesinos,etarras,Undirected,1
etarras,bildu,Undirected,1
bildu,bajan,Undirected,1
bajan,penas,Undirected,1
penas,violadores,Undirected,3
fijaos,españa,Undirected,1
españa,líder,Undirected,1
líder,ultraderecha,Undirected,1
ultraderecha,súper,Undirected,1
súper,ensalzado,Undirected,1
ensalzado,v,Undirected,1
v,hungría,Undirected,1
hungría,país,Undirected,1
país,gallardo,Undirected,1
gallardo,abascal,Undirected,1
abascal,espinosa,Undirected,1
espinosa,ponen,Undirected,1
ponen,ejemplo,Undirected,1
ejemplo,instaurar,Undirected,1
instaurar,ideas,Undirected,1
ideas,medidas,Undirected,1
acciones,proyecto,Undirected,1
proyecto,colima,Undirected,1
colima,educar,Undirected,1
educar,igualdad,Undirected,1
igualdad,impulsadas,Undirected,1
impulsadas,fomento,Undirected,1
fomento,actividades,Undirected,1
actividades,sociedad,Undirected,1
sociedad,cilvil,Undirected,1
cilvil,colima,Undirected,1
colima,acudimos,Undirected,1
acudimos,escuela,Undirected,1
escuela,primaria,Undirected,1
primaria,distribuidores,Undirected,1
distribuidores,nissan,Undirected,1
cuestiones,medicas,Undirected,1
medicas,riesgo,Undirected,1
riesgo,vital,Undirected,1
vital,eugenesicas,Undirected,1
eugenesicas,malformaciones,Undirected,1
malformaciones,caso,Undirected,1
caso,violación,Undirected,3
violación,entro,Undirected,1
entro,qué,Undirected,1
qué,discursión,Undirected,1
che,partido,Undirected,1
gallardo,pasan,Undirected,1
triste,favor,Undirected,1
choque,castilla,Undirected,1
león,vox,Undirected,2
vox,amaga,Undirected,1
amaga,revisar,Undirected,1
revisar,pacto,Undirected,1
gobierno,feijóo,Undirected,1
feijóo,descarta,Undirected,1
descarta,cambiar,Undirected,1
cambiar,protocolo,Undirected,1
clase,congresal,Undirected,1
congresal,qué,Undirected,1
qué,ve,Undirected,1
ve,cosa,Undirected,1
cosa,qué,Undirected,2
qué,gordo,Undirected,1
gordo,ombligo,Undirected,1
ombligo,qué,Undirected,1
qué,contubernio,Undirected,1
contubernio,inepto,Undirected,1
inepto,castillo,Undirected,1
castillo,enquistaron,Undirected,1
enquistaron,destruyendo,Undirected,1
destruyendo,perú,Undirected,1
perú,situación,Undirected,1
situación,cuya,Undirected,1
cuya,única,Undirected,1
única,salida,Undirected,2
salida,salida,Undirected,1
salida,entendieron,Undirected,1
entendieron,qué,Undirected,1
qué,lacra,Undirected,1
lacra,qué,Undirected,1
qué,ejec,Undirected,1
ejec,leg,Undirected,1
leg,ocuparon,Undirected,1
ocuparon,quedarse,Undirected,1
choque,amiguisimos,Undirected,1
amiguisimos,socios,Undirected,1
socios,mentira,Undirected,1
mentira,puro,Undirected,1
puro,postureo,Undirected,1
entendí,llevaba,Undirected,1
llevaba,juicio,Undirected,1
iglesias,yolanda,Undirected,1
yolanda,díaz,Undirected,4
díaz,irena,Undirected,1
irena,montera,Undirected,1
montera,ido,Undirected,1
ido,visitar,Undirected,1
visitar,kirchner,Undirected,1
kirchner,meses,Undirected,1
meses,condenaran,Undirected,1
condenaran,mafia,Undirected,1
mafia,internacional,Undirected,1
internacional,disfrazados,Undirected,1
disfrazados,políticos,Undirected,1
sigo,gusto,Undirected,1
gusto,ayudar,Undirected,1
ayudar,crecer,Undirected,1
saludos,donosti,Undirected,1
donosti,ivan,Undirected,1
ivan,años,Undirected,1
años,voto,Undirected,1
voto,corrupción,Undirected,1
corrupción,política,Undirected,2
política,iré,Undirected,1
iré,votar,Undirected,1
votar,vox,Undirected,6
vox,veo,Undirected,2
veo,honestidad,Undirected,1
honestidad,coherencia,Undirected,1
coherencia,vox,Undirected,1
vox,olvidarse,Undirected,1
olvidarse,agenda,Undirected,1
agenda,hispana,Undirected,1
rajoy,perdieron,Undirected,1
perdieron,adquisitivo,Undirected,1
adquisitivo,años,Undirected,1
años,justicia,Undirected,1
justicia,reponer,Undirected,1
reponer,daño,Undirected,1
daño,gobernar,Undirected,1
gobernar,jamás,Undirected,1
jamás,intereses,Undirected,1
intereses,bienestar,Undirected,1
bienestar,vulnerables,Undirected,1
vulnerables,fute,Undirected,1
fute,fute,Undirected,2
moda,linchamiento,Undirected,1
linchamiento,mediático,Undirected,1
mediático,condenas,Undirected,1
condenas,voluntad,Undirected,1
voluntad,chusma,Undirected,1
chusma,vayamos,Undirected,1
vayamos,plaza,Undirected,1
plaza,mayo,Undirected,1
mayo,colguemos,Undirected,1
colguemos,caputos,Undirected,1
caputos,bullrrich,Undirected,1
bullrrich,macri,Undirected,1
macri,larreta,Undirected,1
larreta,quisieron,Undirected,1
quisieron,matar,Undirected,1
matar,cristina,Undirected,1
cristina,fernandez,Undirected,1
muchisimas,gracias,Undirected,1
gracias,aceptar,Undirected,1
aceptar,reto,Undirected,1
reto,estara,Undirected,1
estara,lleno,Undirected,1
lleno,espinas,Undirected,1
espinas,animos,Undirected,1
animos,fuerza,Undirected,1
facha,único,Undirected,1
único,piojsoso,Undirected,1
golpe,españoles,Undirected,1
españoles,emos,Undirected,1
emos,demostrado,Undirected,1
demostrado,pp,Undirected,1
pp,abrian,Undirected,1
abrian,hijos,Undirected,1
hijos,padres,Undirected,1
vayanse,mierda,Undirected,1
mierda,mamupiladores,Undirected,1
mamupiladores,mentirosos,Undirected,1
comunismo,agenda,Undirected,1
agenda,daré,Undirected,1
daré,igualdad,Undirected,1
igualdad,cambio,Undirected,1
cambio,quitaré,Undirected,1
quitaré,sangras,Undirected,1
sangras,serás,Undirected,1
serás,feliz,Undirected,1
feliz,feliz,Undirected,1
acta,consejo,Undirected,1
consejo,gobierno,Undirected,2
león,trataron,Undirected,1
trataron,medidas,Undirected,1
medidas,antiabortivas,Undirected,1
antiabortivas,jueves,Undirected,1
jueves,carriedo,Undirected,1
carriedo,presentó,Undirected,1
presentó,gallardo,Undirected,1
gallardo,anuncio,Undirected,1
anuncio,diciendo,Undirected,1
diciendo,medidas,Undirected,1
medidas,ponen,Undirected,1
ponen,conocimiento,Undirected,1
conocimiento,consejo,Undirected,2
consejo,vicepresidente,Undirected,1
vicepresidente,sanidad,Undirected,1
estarían,metiéndole,Undirected,1
metiéndole,dedo,Undirected,1
dedo,ojo,Undirected,1
ojo,yolanda,Undirected,1
yolanda,iu,Undirected,1
iu,pce,Undirected,1
pce,comú,Undirected,1
comú,común,Undirected,1
común,tirón,Undirected,1
tirón,yolanda,Undirected,1
díaz,proceso,Undirected,1
proceso,escucha,Undirected,1
escucha,torpe,Undirected,1
torpe,de,Undirected,1
de,dirigentes,Undirected,1
dirigentes,morados,Undirected,1
oyendo,criticar,Undirected,1
criticar,pp,Undirected,1
pp,losantos,Undirected,1
losantos,sorayización,Undirected,1
sorayización,cúpula,Undirected,1
cúpula,partido,Undirected,1
pensionistas,votantes,Undirected,2
pp,habrán,Undirected,2
habrán,renunciado,Undirected,2
renunciado,subida,Undirected,2
subida,partido,Undirected,2
partido,rechazó,Undirected,2
rechazó,congreso,Undirected,2
mierda,anticonstitucional,Undirected,1
anticonstitucional,falta,Undirected,1
falta,derechos,Undirected,1
fundamentales,jajajajajajaja,Undirected,1
jajajajajajaja,puta,Undirected,1
puta,panda,Undirected,1
panda,retrasados,Undirected,1
retrasados,mentales,Undirected,1
mentales,gobierno,Undirected,1
esté,piojo,Undirected,1
piojo,soso,Undirected,1
soso,idea,Undirected,1
idea,modelo,Undirected,1
modelo,perfecto,Undirected,1
perfecto,típico,Undirected,1
típico,perro,Undirected,1
perro,flauta,Undirected,1
flauta,cobra,Undirected,1
cobra,paguitas,Undirected,1
paguitas,anda,Undirected,1
anda,yaaaa,Undirected,1
peregrinaje,desgaste,Undirected,1
desgaste,energía,Undirected,1
energía,vox,Undirected,1
vox,estaríais,Undirected,1
pasaría,pequeña,Undirected,1
obviamente,acompañado,Undirected,1
acompañado,administración,Undirected,1
administración,gobierno,Undirected,1
gobierno,vimos,Undirected,1
semana,hecatombe,Undirected,1
hecatombe,castilla,Undirected,1
león,termina,Undirected,1
termina,feijóo,Undirected,1
feijóo,juzgados,Undirected,1
juzgados,salamanca,Undirected,1
salamanca,acudira,Undirected,1
acudira,ningun,Undirected,1
ningun,telediario,Undirected,1
telediario,mencionado,Undirected,1
mencionado,oh,Undirected,1
oh,sorpresa,Undirected,1
sorpresa,yoconpodemos,Undirected,1
independentistas,problema,Undirected,1
problema,izquierdas,Undirected,1
izquierdas,amamos,Undirected,1
amamos,españa,Undirected,1
españa,problema,Undirected,1
problema,dais,Undirected,1
dais,mierda,Undirected,1
mierda,vox,Undirected,2
vox,cuento,Undirected,1
cuento,pablo,Undirected,1
pablo,escohotado,Undirected,1
escohotado,diferencia,Undirected,1
lumbreras,política,Undirected,1
política,soslayar,Undirected,1
soslayar,comunidad,Undirected,1
comunidad,miedo,Undirected,1
miedo,odio,Undirected,1
odio,rebajan,Undirected,1
rebajan,coeficiente,Undirected,1
coeficiente,intelectual,Undirected,1
intelectual,casos,Undirected,1
juventud,comunistas,Undirected,1
comunistas,conscientes,Undirected,1
conscientes,ideario,Undirected,1
ideario,criminal,Undirected,1
criminal,compartían,Undirected,1
compartían,tipo,Undirected,1
tipo,pasa,Undirected,1
pasa,pepero,Undirected,1
pepero,necesitado,Undirected,1
necesitado,subvenciones,Undirected,1
subvenciones,lacayo,Undirected,1
lacayo,lamebotas,Undirected,1
lamebotas,pp,Undirected,1
tranqui,gallardo,Undirected,1
dirigiendo,jugando,Undirected,1
jugando,messi,Undirected,2
violencia,ejercen,Undirected,1
ejercen,furcias,Undirected,1
furcias,liberando,Undirected,1
liberando,violadores,Undirected,1
violadores,par,Undirected,1
par,putazas,Undirected,1
putazas,nombre,Undirected,1
lógica,mujeres,Undirected,1
mujeres,pensar,Undirected,1
pensar,matar,Undirected,1
hijos,hacerles,Undirected,1
hacerles,caso,Undirected,1
caso,aborto,Undirected,4
aborto,vulnera,Undirected,1
vulnera,principal,Undirected,1
principal,derecho,Undirected,1
derecho,derecho,Undirected,3
vida,inventarse,Undirected,1
inventarse,feto,Undirected,1
feto,vida,Undirected,3
vida,ignorar,Undirected,1
ignorar,avances,Undirected,1
avances,científicos,Undirected,1
totalmente,merecido,Undirected,1
merecido,gracias,Undirected,1
gracias,puñetazo,Undirected,1
episodio,bullying,Undirected,1
bullying,momento,Undirected,1
momento,federico,Undirected,1
federico,ira,Undirected,1
ira,descontrolada,Undirected,1
descontrolada,maravillan,Undirected,1
maravillan,admiro,Undirected,1
admiro,autocontrol,Undirected,1
autocontrol,rocío,Undirected,1
rocío,pp,Undirected,1
pp,bonilla,Undirected,1
bonilla,aprobando,Undirected,1
aprobando,enmiendas,Undirected,1
enmiendas,presupuestos,Undirected,1
presupuestos,presentada,Undirected,1
presentada,psoe,Undirected,1
psoe,plazo,Undirected,1
plazo,míseros,Undirected,1
míseros,mes,Undirected,1
mes,desp,Undirected,1
realidad,aborto,Undirected,1
aborto,quita,Undirected,2
quita,dramático,Undirected,1
acaba,mentira,Undirected,1
mentira,fressi,Undirected,1
fressi,mecagué,Undirected,1
mecagué,neymal,Undirected,1
neymal,gallardo,Undirected,1
gallardo,cristiangoat,Undirected,1
cristiangoat,ronaldios,Undirected,1
ronaldios,pity,Undirected,1
pity,matthines,Undirected,1
matthines,enseñarán,Undirected,1
enseñarán,juega,Undirected,1
juega,deporte,Undirected,1
vete,loco,Undirected,1
loco,clima,Undirected,1
clima,descartaría,Undirected,1
gestión,pp,Undirected,1
ah,adictas,Undirected,1
adictas,cocaina,Undirected,1
cocaina,paco,Undirected,1
paco,cartón,Undirected,1
cartón,lleno,Undirected,1
lleno,digan,Undirected,1
digan,cosas,Undirected,1
cosas,separadas,Undirected,1
separadas,mano,Undirected,1
mano,corrupción,Undirected,1
corrupción,nefasta,Undirected,1
problema,real,Undirected,1
real,gente,Undirected,1
gente,quebis,Undirected,1
quebis,apoyó,Undirected,1
apoyó,calado,Undirected,1
calado,echando,Undirected,1
echando,mierda,Undirected,1
mierda,mierda,Undirected,1
mierda,proclamásteis,Undirected,1
tomado,cuento,Undirected,1
cuento,criada,Undirected,2
criada,serio,Undirected,1
estaría,contexto,Undirected,1
contexto,completo,Undirected,1
completo,defiendo,Undirected,1
colgaron,programa,Undirected,1
electoral,pagina,Undirected,1
andalucia,colgaban,Undirected,1
colgaban,programas,Undirected,1
programas,electorales,Undirected,1
electorales,sitio,Undirected,1
sitio,descargué,Undirected,1
descargué,psoe,Undirected,1
pp,falange,Undirected,1
escribe,pp,Undirected,1
pp,escriben,Undirected,1
escriben,rajoy,Undirected,1
rajoy,negar,Undirected,1
tanta,pobreza,Undirected,1
pobreza,ignorancia,Undirected,1
ignorancia,dinero,Undirected,1
noviembre,dedicamos,Undirected,1
dedicamos,ficha,Undirected,1
ficha,informativa,Undirected,1
informativa,aprendizaje,Undirected,1
aprendizaje,díainternacionaldelaeliminacióndelaviolenciacontralamujer,Undirected,1
díainternacionaldelaeliminacióndelaviolenciacontralamujer,jornadas,Undirected,1
jornadas,fomento,Undirected,1
fomento,empleabilidad,Undirected,1
empleabilidad,igualdad,Undirected,1
oportunidades,mujeres,Undirected,1
mujeres,problemas,Undirected,1
problemas,saludmental,Undirected,1
medida,españoles,Undirected,1
españoles,perciban,Undirected,1
perciban,pp,Undirected,2
pp,útil,Undirected,1
útil,derogacion,Undirected,1
derogacion,leyes,Undirected,1
leyes,sectarias,Undirected,1
sectarias,sánchez,Undirected,1
sánchez,banda,Undirected,1
banda,pagará,Undirected,1
acolombialefalta,igualdad,Undirected,1
igualdad,ley,Undirected,8
ley,juzgar,Undirected,1
juzgar,justicia,Undirected,1
justicia,ciudadanos,Undirected,1
ciudadanos,desafortunadamente,Undirected,1
desafortunadamente,acá,Undirected,1
acá,ley,Undirected,1
ley,funciona,Undirected,1
funciona,ciudadano,Undirected,1
gallardo,fede,Undirected,1
fede,ponete,Undirected,1
ponete,contento,Undirected,1
contento,viejo,Undirected,1
obligar,fachas,Undirected,1
fachas,desbloquear,Undirected,1
desbloquear,cgpj,Undirected,1
són,clásicos,Undirected,1
clásicos,dueños,Undirected,1
dueños,moral,Undirected,1
moral,creen,Undirected,1
creen,socialistas,Undirected,1
socialistas,llevan,Undirected,1
llevan,polo,Undirected,1
polo,che,Undirected,1
che,guevara,Undirected,1
guevara,disfrutan,Undirected,1
disfrutan,riquezas,Undirected,1
riquezas,ventajas,Undirected,1
ventajas,capitalismo,Undirected,1
capitalismo,europa,Undirected,1
europa,exigiendo,Undirected,1
exigiendo,igualdad,Undirected,2
igualdad,tolerancia,Undirected,1
tolerancia,vandalismo,Undirected,1
vandalismo,toquen,Undirected,1
toquen,burbuja,Undirected,1
dieran,tarea,Undirected,1
tarea,mirar,Undirected,1
votos,ganado,Undirected,1
ganado,vox,Undirected,1
vox,federico,Undirected,1
federico,asistencia,Undirected,1
asistencia,pp,Undirected,1
pp,manifestación,Undirected,1
manifestación,confunden,Undirected,1
confunden,adversario,Undirected,1
capaz,verlo,Undirected,1
verlo,admito,Undirected,1
extraña,hombre,Undirected,1
hombre,progenitor,Undirected,1
progenitor,feto,Undirected,1
feto,derecho,Undirected,1
decidir,vive,Undirected,1
vive,muere,Undirected,1
muere,defensa,Undirected,1
defensa,cuerpo,Undirected,1
cuerpo,debió,Undirected,1
debió,utilizarlo,Undirected,1
utilizarlo,padre,Undirected,1
padre,quería,Undirected,1
quería,mujer,Undirected,1
pare,obligado,Undirected,1
obligado,pagar,Undirected,1
pagar,manutención,Undirected,1
manutención,igualdad,Undirected,1
igualdad,géneros,Undirected,2
vieja,loca,Undirected,1
loca,incongruente,Undirected,1
incongruente,mentirosa,Undirected,1
panda,sinvergüenzas,Undirected,1
sinvergüenzas,pp,Undirected,1
pp,criticando,Undirected,1
criticando,gestión,Undirected,1
gestión,pensiones,Undirected,1
pensiones,recordarle,Undirected,1
recordarle,rajoy,Undirected,1
rajoy,gastó,Undirected,1
gastó,m,Undirected,1
m,actual,Undirected,1
actual,gobierno,Undirected,3
gobierno,llenando,Undirected,1
llenando,ucha,Undirected,1
ucha,pensiones,Undirected,1
pensiones,lavaros,Undirected,1
lavaros,boca,Undirected,1
boca,hablar,Undirected,1
hablar,favor,Undirected,1
favor,aprende,Undirected,1
terapia,urgente,Undirected,1
expertos,lavarse,Undirected,1
lavarse,manos,Undirected,1
manos,izquierda,Undirected,1
izquierda,contentos,Undirected,1
contentos,interna,Undirected,1
interna,muertos,Undirected,1
muertos,lloran,Undirected,1
lloran,cámaras,Undirected,1
cámaras,sinvergüenza,Undirected,1
sinvergüenza,m,Undirected,1
pxxe,pp,Undirected,1
pp,caseros,Undirected,1
caseros,qué,Undirected,1
qué,llenan,Undirected,1
llenan,congreso,Undirected,1
congreso,representar,Undirected,1
representar,pueblo,Undirected,1
pueblo,representan,Undirected,1
representan,caseros,Undirected,1
caseros,tomadura,Undirected,1
tomadura,pelo,Undirected,1
pp,gusta,Undirected,1
gusta,psoe,Undirected,1
psoe,acaban,Undirected,1
acaban,rectificando,Undirected,1
rectificando,increible,Undirected,1
increible,personalidad,Undirected,1
personalidad,feijoo,Undirected,1
bravo,quejan,Undirected,1
quejan,médicos,Undirected,1
médicos,ecografía,Undirected,1
ecografía,abortista,Undirected,1
abortista,afectar,Undirected,1
afectar,tejidos,Undirected,1
tejidos,feto,Undirected,1
feto,chutarle,Undirected,1
chutarle,veneno,Undirected,1
veneno,muera,Undirected,1
muera,vientre,Undirected,1
vientre,nazca,Undirected,1
nazca,latido,Undirected,1
latido,envuelvan,Undirected,1
envuelvan,paño,Undirected,1
paño,esperando,Undirected,1
esperando,muera,Undirected,1
muera,ética,Undirected,1
ética,maneja,Undirected,1
dices,quiero,Undirected,2
quiero,castigo,Undirected,1
castigo,cara,Undirected,1
cara,pared,Undirected,1
pared,censura,Undirected,1
censura,nooooo,Undirected,1
nooooo,llevan,Undirected,1
llevan,recuerden,Undirected,1
recuerden,meteduras,Undirected,1
meteduras,pata,Undirected,1
pata,dimitir,Undirected,1
frase,realidad,Undirected,1
realidad,pq,Undirected,1
pq,pronuncias,Undirected,1
pronuncias,perdido,Undirected,1
perdido,seguidores,Undirected,1
seguidores,burrada,Undirected,1
burrada,castilla,Undirected,1
león,suda,Undirected,1
suda,completo,Undirected,1
completo,abrir,Undirected,1
abrir,puerta,Undirected,1
puerta,peligrosísimo,Undirected,1
doña,carmen,Undirected,1
carmen,moriyon,Undirected,1
moriyon,dedicó,Undirected,1
dedicó,vida,Undirected,1
vida,cascos,Undirected,1
cascos,encontró,Undirected,1
encontró,juguete,Undirected,1
juguete,llama,Undirected,1
llama,viene,Undirected,1
viene,pp,Undirected,1
pp,ciudadanos,Undirected,3
ciudadanos,morir,Undirected,1
morir,matando,Undirected,1
matando,dije,Undirected,1
dije,tocaban,Undirected,1
tocaban,puerta,Undirected,1
puerta,ciudano,Undirected,1
ciudano,barbón,Undirected,1
deberian,quitar,Undirected,1
quitar,niña,Undirected,1
niña,brazos,Undirected,1
brazos,nazca,Undirected,1
nazca,esterilzarla,Undirected,1
esterilzarla,demente,Undirected,1
felicitaciones,inmensa,Undirected,1
inmensa,capacidad,Undirected,1
capacidad,trabajo,Undirected,1
trabajo,inteligencia,Undirected,1
inteligencia,amorosidad,Undirected,1
amorosidad,orgullo,Undirected,1
orgullo,comunidad,Undirected,1
exactamente,amigo,Undirected,1
amigo,cargo,Undirected,1
cargo,tipo,Undirected,1
tipo,sueldos,Undirected,1
sueldos,tendrían,Undirected,1
tendrían,comunistas,Undirected,1
comunistas,intenta,Undirected,1
intenta,respetar,Undirected,1
respetar,mínimo,Undirected,1
mínimo,insultos,Undirected,1
insultos,gente,Undirected,1
ganar,porq,Undirected,1
porq,gracias,Undirected,1
gracias,rajoyadas,Undirected,1
rajoyadas,qué,Undirected,1
qué,siguen,Undirected,1
siguen,pp,Undirected,1
pp,incluyendo,Undirected,1
incluyendo,mad,Undirected,1
mad,plazo,Undirected,1
plazo,gana,Undirected,1
gana,vox,Undirected,1
veo,gente,Undirected,1
gente,criterio,Undirected,1
criterio,dejandose,Undirected,1
dejandose,arrastrar,Undirected,1
arrastrar,cambio,Undirected,1
cambio,algun,Undirected,1
algun,beneficio,Undirected,1
beneficio,superfluo,Undirected,1
irrigación,sanguínea,Undirected,1
sanguínea,cerebro,Undirected,1
cerebro,ve,Undirected,1
ve,acá,Undirected,1
mañana,sale,Undirected,1
sale,vox,Undirected,1
vox,machina,Undirected,3
machina,disco,Undirected,1
disco,maneskin,Undirected,1
maneskin,aaaaaa,Undirected,1
camarada,vilma,Undirected,1
oír,asco,Undirected,1
quisiera,carisma,Undirected,1
carisma,pedro,Undirected,1
federico,comportado,Undirected,1
comportado,forma,Undirected,1
forma,grosera,Undirected,1
grosera,maleducada,Undirected,1
maleducada,agresiva,Undirected,1
agresiva,patética,Undirected,1
patética,rocío,Undirected,1
monasterio,perdido,Undirected,1
perdido,educación,Undirected,1
educación,serenidad,Undirected,1
serenidad,cueva,Undirected,1
cueva,víboras,Undirected,1
víboras,vergüenza,Undirected,1
ajena,indignación,Undirected,1
indignación,vox,Undirected,1
importa,mierda,Undirected,1
mierda,pacientes,Undirected,1
pacientes,vio,Undirected,1
vio,ola,Undirected,1
ola,covid,Undirected,1
covid,huistes,Undirected,1
huistes,alma,Undirected,1
alma,diablo,Undirected,1
diablo,figurar,Undirected,1
figurar,asamblea,Undirected,1
asamblea,sra,Undirected,1
sra,medica,Undirected,1
medica,andale,Undirected,1
andale,engañar,Undirected,1
opino,control,Undirected,1
control,natalidad,Undirected,1
natalidad,fallando,Undirected,1
problema,credibilidad,Undirected,1
credibilidad,rivas,Undirected,1
rivas,mayoría,Undirected,1
mayoría,ripenses,Undirected,1
ripenses,trabajan,Undirected,1
trabajan,madrid,Undirected,1
madrid,ven,Undirected,1
ven,pp,Undirected,1
pp,persona,Undirected,1
persona,almeida,Undirected,1
almeida,gestiona,Undirected,1
gestiona,ayuntamiento,Undirected,1
ayuntamiento,municipio,Undirected,1
municipio,europa,Undirected,1
europa,contratas,Undirected,1
contratas,limpieza,Undirected,1
limpieza,multimillonarias,Undirected,1
multimillonarias,manos,Undirected,1
mierdaaaaaaaaaaaaaaaa,tio,Undirected,1
estáis,acostumbrados,Undirected,2
acostumbrados,realidad,Undirected,1
realidad,sociedad,Undirected,1
sociedad,queréis,Undirected,1
queréis,volver,Undirected,1
volver,fascistas,Undirected,1
fascistas,dictadura,Undirected,1
dictadura,digo,Undirected,1
digo,pasar,Undirected,1
pasar,derechos,Undirected,1
derechos,tocan,Undirected,1
tocan,nazis,Undirected,1
nazis,conseguiréis,Undirected,1
conseguiréis,atrasar,Undirected,1
atrasar,sociedad,Undirected,1
sánchez,euros,Undirected,1
año,rebaja,Undirected,1
rebaja,retenciones,Undirected,1
retenciones,irpf,Undirected,1
irpf,sorpresa,Undirected,1
sorpresa,declaración,Undirected,1
llama,censura,Undirected,3
censura,control,Undirected,1
control,medios,Undirected,1
agrede,presencia,Undirected,1
presencia,vocabulario,Undirected,1
descarada,incongruente,Undirected,1
incongruente,realidad,Undirected,1
esperpento,persona,Undirected,1
persona,odio,Undirected,1
vox,oposición,Undirected,2
españa,sabia,Undirected,1
sabia,cantidad,Undirected,1
cantidad,gilipollas,Undirected,1
gilipollas,peperos,Undirected,1
peperos,votaran,Undirected,1
votaran,massa,Undirected,1
massa,marca,Undirected,1
marca,blanca,Undirected,3
blanca,preferida,Undirected,1
preferida,socialismo,Undirected,1
socialismo,pp,Undirected,1
gobierno,contesta,Undirected,1
contesta,castilla,Undirected,1
león,protocolo,Undirected,1
protocolo,evitar,Undirected,1
abortos,requerimientos,Undirected,1
requerimientos,inadmiten,Undirected,1
inadmiten,contestan,Undirected,1
contestan,vía,Undirected,1
contesto,brevemente,Undirected,1
brevemente,ignorante,Undirected,1
igualdad,xxi,Undirected,1
vale,aconseje,Undirected,1
aconseje,vd,Undirected,1
vd,contestan,Undirected,1
contestan,mintiendo,Undirected,1
mintiendo,vds,Undirected,1
vds,forma,Undirected,1
forma,ah,Undirected,1
ah,desconocen,Undirected,1
desconocen,forma,Undirected,1
forma,contestar,Undirected,1
contestar,mintiendo,Undirected,1
mintiendo,calladitos,Undirected,1
zurdos,pregonan,Undirected,1
pregonan,democracia,Undirected,1
democracia,intolerantes,Undirected,1
intolerantes,argumentos,Undirected,1
argumentos,rebuscan,Undirected,1
rebuscan,viejos,Undirected,1
viejos,epitetos,Undirected,1
epitetos,intención,Undirected,1
intención,descalificar,Undirected,1
descalificar,py,Undirected,1
py,españoles,Undirected,1
españoles,insto,Undirected,1
insto,cambiar,Undirected,1
cambiar,situación,Undirected,1
situación,pronunciandosé,Undirected,1
pronunciandosé,urnas,Undirected,1
urnas,dios,Undirected,1
dios,patria,Undirected,1
patria,flia,Undirected,1
setroi,noticias,Undirected,2
noticias,feijóo,Undirected,1
feijóo,acudirá,Undirected,3
acudirá,juicio,Undirected,3
juicio,pp,Undirected,3
salamanca,presidente,Undirected,3
presidente,produjeron,Undirected,3
produjeron,hechos,Undirected,3
hechos,setroi,Undirected,1
noticias,afiliados,Undirected,1
afiliados,críticos,Undirected,1
críticos,exigen,Undirected,1
exigen,congreso,Undirected,1
congreso,provincial,Undirected,1
provincial,retrasado,Undirected,1
