Source,Target,Type
pegada,derechos,Undirected
derechos,humanos,Undirected
humanos,proponga,Undirected
proponga,distinto,Undirected
gustaría,gobernasen,Undirected
gobernasen,ciudadanos,Undirected
ciudadanos,votasen,Undirected
votasen,empezando,Undirected
empezando,votar,Undirected
votar,presidente,Undirected
salga,sirve,Undirected
sirve,seguro,Undirected
seguro,violaran,Undirected
violaran,alguien,Undirected
alguien,familia,Undirected
familia,gustaría,Undirected
gustaría,dejar,Undirected
dejar,hipocritas,Undirected
hipocritas,problemas,Undirected
minuto,vea,Undirected
vea,soberbia,Undirected
soberbia,tunda,Undirected
tunda,eurodiputada,Undirected
eurodiputada,dolors,Undirected
dolors,montserrat,Undirected
montserrat,pp,Undirected
pp,propina,Undirected
propina,gobierno,Undirected
gobierno,sánchez,Undirected
sánchez,desgranó,Undirected
desgranó,tropelías,Undirected
tropelías,perpetradas,Undirected
perpetradas,gobierno,Undirected
gobierno,sánchez,Undirected
q,tipo,Undirected
tipo,vida,Undirected
vida,persona,Undirected
persona,adoptado,Undirected
adoptado,familia,Undirected
familia,circunstancias,Undirected
circunstancias,madre,Undirected
madre,cambian,Undirected
cambian,tienes,Undirected
tienes,bola,Undirected
bola,cristal,Undirected
cristal,absurdo,Undirected
absurdo,vida,Undirected
vida,humana,Undirected
humana,q,Undirected
q,merece,Undirected
merece,oportunidad,Undirected
oportunidad,vivimos,Undirected
vivimos,tercer,Undirected
tercer,mundo,Undirected
mundo,salidas,Undirected
porqué,derecho,Undirected
derecho,vida,Undirected
vida,derecho,Undirected
derecho,fundamental,Undirected
fundamental,ética,Undirected
ética,moral,Undirected
moral,humana,Undirected
humana,aborto,Undirected
aborto,derecho,Undirected
derecho,fracaso,Undirected
fracaso,social,Undirected
social,tragedia,Undirected
tragedia,humana,Undirected
simplemente,campaña,Undirected
campaña,pp,Undirected
apretando,dictadura,Undirected
dictadura,comunista,Undirected
aborto,avanzado,Undirected
avanzado,deshumanización,Undirected
deshumanización,justificar,Undirected
justificar,muerte,Undirected
muerte,bebé,Undirected
bebé,inhumano,Undirected
completa,salvajada,Undirected
salvajada,bebé,Undirected
bebé,vivo,Undirected
vivo,desarrollo,Undirected
desarrollo,deja,Undirected
deja,humano,Undirected
humano,digas,Undirected
digas,embarazó,Undirected
igualar,pobre,Undirected
pobre,rico,Undirected
rico,rico,Undirected
rico,pobre,Undirected
pobre,concretamente,Undirected
concretamente,estás,Undirected
estás,entiendo,Undirected
entiendo,tius,Undirected
tius,obras,Undirected
cordial,saludo,Undirected
saludo,dra,Undirected
dra,carolina,Undirected
carolina,corcho,Undirected
corcho,medidas,Undirected
medidas,preventivas,Undirected
preventivas,planea,Undirected
planea,implementar,Undirected
implementar,evitar,Undirected
evitar,llegue,Undirected
llegue,colombia,Undirected
colombia,crisis,Undirected
crisis,actual,Undirected
actual,china,Undirected
china,cadaveres,Undirected
cadaveres,calles,Undirected
calles,colapso,Undirected
año,votare,Undirected
votare,critica,Undirected
critica,mierda,Undirected
mierda,ladrones,Undirected
ladrones,joden,Undirected
joden,iguales,Undirected
pobre,gente,Undirected
gente,cruel,Undirected
cruel,engañada,Undirected
ojalá,entiendo,Undirected
entiendo,siga,Undirected
siga,habiendo,Undirected
habiendo,piedras,Undirected
piedras,voten,Undirected
voten,viendo,Undirected
viendo,panorama,Undirected
panorama,soloquedavox,Undirected
soloquedavox,voxextremanacesidad,Undirected
miércoles,cuida,Undirected
cuida,estupida,Undirected
seria,obra,Undirected
obra,comedor,Undirected
comedor,quecte,Undirected
quecte,chipaba,Undirected
chipaba,ogt,Undirected
díganme,q,Undirected
q,fútbol,Undirected
fútbol,libre,Undirected
libre,pasan,Undirected
pasan,partido,Undirected
partido,d,Undirected
d,gallardo,Undirected
gallardo,pq,Undirected
pq,cuelgo,Undirected
quevedo,denuncia,Undirected
denuncia,emergencia,Undirected
emergencia,horcas,Undirected
horcas,pagado,Undirected
pagado,piedra,Undirected
piedra,melilla,Undirected
melilla,pp,Undirected
pp,calcula,Undirected
calcula,abonado,Undirected
abonado,euros,Undirected
euros,toneladas,Undirected
toneladas,piedra,Undirected
piedra,entró,Undirected
entró,aduana,Undirected
contado,millonariocomunista,Undirected
millonariocomunista,roures,Undirected
roures,sólito,Undirected
sólito,has,Undirected
has,averiguado,Undirected
reconocimiento,q,Undirected
q,venimos,Undirected
venimos,reclamando,Undirected
reclamando,décadas,Undirected
stock,vivienda,Undirected
vivienda,acuerdos,Undirected
acuerdos,obra,Undirected
obra,terrenos,Undirected
terrenos,especiales,Undirected
especiales,vivienda,Undirected
vivienda,alquiler,Undirected
alquiler,social,Undirected
social,edificios,Undirected
edificios,públicos,Undirected
públicos,rehabiliten,Undirected
rehabiliten,sueltas,Undirected
sueltas,mil,Undirected
mil,millones,Undirected
millones,ministerio,Undirected
ministerio,irene,Undirected
irene,montero,Undirected
montero,dirás,Undirected
asco,tremendo,Undirected
tremendo,izquierda,Undirected
izquierda,hablando,Undirected
hablando,cyl,Undirected
cyl,caso,Undirected
caso,implantarse,Undirected
implantarse,voluntario,Undirected
voluntario,callan,Undirected
callan,rebaja,Undirected
rebaja,condenas,Undirected
condenas,violadores,Undirected
violadores,apoyo,Undirected
apoyo,izquierda,Undirected
izquierda,entrada,Undirected
entrada,masiva,Undirected
masiva,culturas,Undirected
culturas,odian,Undirected
odian,mujer,Undirected
mujer,enemigo,Undirected
enemigo,mujer,Undirected
mujer,izda,Undirected
objetivo,pp,Undirected
pp,votantes,Undirected
votantes,vox,Undirected
vox,psoe,Undirected
psoe,signifique,Undirected
signifique,tengamos,Undirected
tengamos,aguantar,Undirected
aguantar,socialcomunistas,Undirected
socialcomunistas,lustro,Undirected
disculpame,diciendo,Undirected
diciendo,pavada,Undirected
pavada,empiricamente,Undirected
empiricamente,desregular,Undirected
desregular,mejora,Undirected
mejora,igualdad,Undirected
igualdad,doy,Undirected
doy,ejemplos,Undirected
ejemplos,claros,Undirected
claros,empíricos,Undirected
ciclón,vox,Undirected
diciendo,vox,Undirected
vox,hablar,Undirected
hablar,aborto,Undirected
aborto,perjudica,Undirected
perjudica,posibilidades,Undirected
posibilidades,gobierno,Undirected
gobierno,pp,Undirected
motivo,discriminación,Undirected
discriminación,país,Undirected
país,desmadre,Undirected
desmadre,personas,Undirected
personas,limpias,Undirected
limpias,suelas,Undirected
suelas,abuelo,Undirected
abuelo,ayudan,Undirected
ayudan,personas,Undirected
fútbol,messi,Undirected
messi,mbappé,Undirected
mbappé,neymar,Undirected
neymar,sergio,Undirected
sergio,ramos,Undirected
ramos,volvieron,Undirected
volvieron,loco,Undirected
loco,hakimi,Undirected
súper,moderado,Undirected
moderado,especie,Undirected
especie,rajoy,Undirected
rajoy,funcionar,Undirected
funcionar,pp,Undirected
pp,perdido,Undirected
perdido,votos,Undirected
votos,motivo,Undirected
motivo,mayoría,Undirected
mayoría,absoluta,Undirected
absoluta,cambiar,Undirected
cambiar,años,Undirected
años,d,Undirected
d,zapatero,Undirected
zapatero,sirvió,Undirected
ay,rtve,Undirected
rtve,pp,Undirected
pp,gustan,Undirected
gustan,contestaciones,Undirected
contestaciones,defender,Undirected
defender,derecho,Undirected
derecho,constituciones,Undirected
constituciones,derecho,Undirected
derecho,huelga,Undirected
huelga,democracia,Undirected
democracia,independencia,Undirected
independencia,prensa,Undirected
prensa,defender,Undirected
defender,democracias,Undirected
democracias,ultraderecha,Undirected
ultraderecha,oportunistas,Undirected
oportunistas,amistad,Undirected
castilla,león,Undirected
león,inadmite,Undirected
inadmite,requerimiento,Undirected
requerimiento,gobierno,Undirected
gobierno,central,Undirected
central,contenido,Undirected
contenido,genérico,Undirected
genérico,etéreo,Undirected
etéreo,gaseoso,Undirected
gaseoso,inconcreto,Undirected
inconcreto,veo,Undirected
veo,lógico,Undirected
lógico,inadmitir,Undirected
inadmitir,ausencia,Undirected
ausencia,respuesta,Undirected
respuesta,silencio,Undirected
silencio,procesal,Undirected
imagino,habrás,Undirected
habrás,comido,Undirected
comido,pegarte,Undirected
pegarte,risotadas,Undirected
comparto,opinión,Undirected
opinión,destaco,Undirected
destaco,odio,Undirected
odio,inexplicable,Undirected
inexplicable,buxade,Undirected
buxade,termino,Undirected
termino,entender,Undirected
entender,enciende,Undirected
enciende,entorno,Undirected
entorno,luis,Undirected
luis,pino,Undirected
porqué,derecho,Undirected
derecho,vida,Undirected
vida,derecho,Undirected
derecho,fundamental,Undirected
fundamental,ética,Undirected
ética,moral,Undirected
moral,humana,Undirected
humana,aborto,Undirected
aborto,derecho,Undirected
derecho,fracaso,Undirected
fracaso,social,Undirected
social,tragedia,Undirected
tragedia,humana,Undirected
encantada,harías,Undirected
harías,muuuucho,Undirected
muuuucho,has,Undirected
has,trabajado,Undirected
trabajado,vida,Undirected
vida,imagínate,Undirected
imagínate,gestionar,Undirected
gestionar,administración,Undirected
administración,comunidad,Undirected
comunidad,madrid,Undirected
fotocopia,españa,Undirected
españa,pp,Undirected
pp,utiliza,Undirected
utiliza,cataluña,Undirected
cataluña,votos,Undirected
votos,resto,Undirected
resto,importándole,Undirected
importándole,pimiento,Undirected
pimiento,perjudica,Undirected
perjudica,beneficia,Undirected
beneficia,resto,Undirected
resto,nación,Undirected
comodidad,paz,Undirected
paz,justicia,Undirected
justicia,r,Undirected
r,igualdad,Undirected
igualdad,déjalos,Undirected
déjalos,quieres,Undirected
quieres,seguir,Undirected
seguir,país,Undirected
país,gobernantes,Undirected
gobernantes,tema,Undirected
tema,ok,Undirected
cataluña,desaparecerán,Undirected
desaparecerán,identificados,Undirected
identificados,independentismo,Undirected
independentismo,narrado,Undirected
narrado,anteriormente,Undirected
anteriormente,madrid,Undirected
madrid,partido,Undirected
partido,pp,Undirected
pp,conjúntamente,Undirected
conjúntamente,gobierno,Undirected
gobierno,tema,Undirected
tema,delicado,Undirected
delicado,pudiese,Undirected
pudiese,azuza,Undirected
suceder,horas,Undirected
horas,viene,Undirected
viene,algaradas,Undirected
algaradas,callejeras,Undirected
callejeras,frotan,Undirected
frotan,manos,Undirected
manos,partido,Undirected
partido,patriota,Undirected
patriota,independentismo,Undirected
independentismo,vota,Undirected
vota,ley,Undirected
ley,favor,Undirected
favor,gobierno,Undirected
gobierno,utiliza,Undirected
utiliza,atacarlo,Undirected
acabaron,vida,Undirected
vida,humana,Undirected
vox,havascal,Undirected
havascal,acudirán,Undirected
acudirán,llamamiento,Undirected
llamamiento,sociedad,Undirected
sociedad,civil,Undirected
civil,resulta,Undirected
resulta,denaes,Undirected
denaes,recuerdan,Undirected
recuerdan,premios,Undirected
premios,onda,Undirected
onda,repartían,Undirected
repartían,contenido,Undirected
contenido,comunicado,Undirected
comunicado,denaes,Undirected
denaes,recuerda,Undirected
votante,derechas,Undirected
derechas,estéis,Undirected
estéis,juntos,Undirected
juntos,echar,Undirected
echar,sánchez,Undirected
sánchez,ah,Undirected
ah,temas,Undirected
temas,política,Undirected
política,dividen,Undirected
dividen,partido,Undirected
partido,tocar,Undirected
feijo,rajoy,Undirected
rajoy,psoe,Undirected
psoe,triste,Undirected
triste,democracia,Undirected
democracia,abstuvo,Undirected
abstuvo,rajoy,Undirected
rajoy,presidente,Undirected
presidente,mire,Undirected
mire,acabó,Undirected
acabó,moncion,Undirected
moncion,rajoy,Undirected
rajoy,cubatas,Undirected
cubatas,bar,Undirected
bar,asiento,Undirected
asiento,ocupado,Undirected
ocupado,bolso,Undirected
awuevo,piden,Undirected
piden,igualdad,Undirected
gobierno,sánchez,Undirected
sánchez,via,Undirected
liberales,vox,Undirected
jajaja,cobarde,Undirected
cobarde,rato,Undirected
rato,destacando,Undirected
destacando,miserables,Undirected
miserables,profesional,Undirected
profesional,ultraderechita,Undirected
ultraderechita,cobarde,Undirected
obviamente,ejemplo,Undirected
ejemplo,hola,Undirected
hola,hacerte,Undirected
hacerte,entrevista,Undirected
entrevista,ofrecerte,Undirected
ofrecerte,mano,Undirected
mano,edad,Undirected
filloas,patán,Undirected
patán,pp,Undirected
designado,candidato,Undirected
candidato,pp,Undirected
pp,alcaldía,Undirected
alcaldía,cádiz,Undirected
cádiz,viene,Undirected
viene,cabeza,Undirected
cabeza,debate,Undirected
debate,tuvimos,Undirected
tuvimos,alcaldables,Undirected
alcaldables,organizado,Undirected
organizado,teófila,Undirected
teófila,martínez,Undirected
martínez,mandó,Undirected
mandó,lugar,Undirected
lugar,debate,Undirected
debate,diferencias,Undirected
diferencias,políticas,Undirected
políticas,deseo,Undirected
deseo,campaña,Undirected
arrobandolas,salten,Undirected
salten,piensan,Undirected
piensan,edad,Undirected
edad,aborto,Undirected
aborto,luciodupuy,Undirected
llama,libertad,Undirected
libertad,mujer,Undirected
mujer,decidir,Undirected
decidir,cuerpo,Undirected
cuerpo,entendido,Undirected
aguantamos,gobierno,Undirected
gobierno,asco,Undirected
asco,gentuza,Undirected
gentuza,gobernando,Undirected
gobernando,españa,Undirected
españa,llevándola,Undirected
llevándola,ruina,Undirected
borja,semper,Undirected
semper,portavoz,Undirected
portavoz,pp,Undirected
pp,pp,Undirected
pp,debate,Undirected
debate,aborto,Undirected
aborto,superado,Undirected
superado,aceptan,Undirected
aceptan,mat,Undirected
mat,inocentes,Undirected
robi,date,Undirected
date,ducha,Undirected
ducha,fría,Undirected
fría,neurona,Undirected
neurona,tienes,Undirected
tienes,echando,Undirected
echando,humo,Undirected
aventuró,coartada,Undirected
coartada,perfecta,Undirected
perfecta,ayuso,Undirected
ayuso,esperando,Undirected
esperando,perdiera,Undirected
perdiera,elecciones,Undirected
elecciones,cosa,Undirected
cosa,probable,Undirected
probable,culpara,Undirected
culpara,feijoo,Undirected
feijoo,declaración,Undirected
declaración,aprovechar,Undirected
aprovechar,quitarlo,Undirected
quitarlo,sustituta,Undirected
europa,vives,Undirected
vives,hazmerreír,Undirected
hazmerreír,recomiendo,Undirected
recomiendo,escuches,Undirected
escuches,eurodiputada,Undirected
eurodiputada,húngara,Undirected
húngara,eurocámara,Undirected
eurocámara,denunciando,Undirected
denunciando,políticas,Undirected
políticas,psicópata,Undirected
psicópata,sánchez,Undirected
pasa,muerte,Undirected
muerte,hijo,Undirected
hijo,importarte,Undirected
importarte,comparto,Undirected
comparto,obligar,Undirected
obligar,hijo,Undirected
hijo,humano,Undirected
humano,concedes,Undirected
concedes,mujer,Undirected
mujer,hombre,Undirected
hombre,cuela,Undirected
alimentasteis,orco,Undirected
orco,control,Undirected
control,devorara,Undirected
devorara,mujeres,Undirected
mujeres,devoro,Undirected
devoro,hombres,Undirected
directos,mentiras,Undirected
realidad,gallardo,Undirected
gallardo,viajó,Undirected
viajó,armarle,Undirected
armarle,equipo,Undirected
equipo,boca,Undirected
vox,retroceder,Undirected
retroceder,luchamos,Undirected
luchamos,mujeres,Undirected
mujeres,decidimos,Undirected
decidimos,espero,Undirected
espero,q,Undirected
q,señores,Undirected
señores,lleguen,Undirected
lleguen,gobernar,Undirected
llevando,gente,Undirected
gente,clásico,Undirected
clásico,igualdad,Undirected
igualdad,condiciones,Undirected
condiciones,jajaajajaj,Undirected
jajaajajaj,gallina,Undirected
pasa,rafa,Undirected
rafa,preocupado,Undirected
preocupado,acerca,Undirected
acerca,momento,Undirected
momento,cargaba,Undirected
cargaba,pp,Undirected
pp,quejabas,Undirected
quejabas,joven,Undirected
despistas,momento,Undirected
momento,entiendes,Undirected
entiendes,castellano,Undirected
cis,psoe,Undirected
psoe,ganaría,Undirected
ganaría,elecciones,Undirected
elecciones,contiene,Undirected
contiene,empuje,Undirected
empuje,pp,Undirected
pp,reforma,Undirected
reforma,código,Undirected
código,penal,Undirected
penal,via,Undirected
sánchez,siga,Undirected
siga,llenar,Undirected
llenar,sobres,Undirected
sobres,pp,Undirected
escribimos,cosas,Undirected
cosas,valdría,Undirected
valdría,quedasen,Undirected
quedasen,tintero,Undirected
tintero,errores,Undirected
errores,horrores,Undirected
olga,q,Undirected
q,q,Undirected
q,condiciones,Undirected
condiciones,q,Undirected
q,q,Undirected
fascismo,izquierda,Undirected
pide,disculpas,Undirected
disculpas,aborto,Undirected
aborto,asesinato,Undirected
asesinato,pido,Undirected
pido,disculpas,Undirected
disculpas,aborto,Undirected
aborto,asesinato,Undirected
pp,ofrece,Undirected
ofrece,romper,Undirected
romper,vox,Undirected
vox,cyl,Undirected
cyl,sánchez,Undirected
sánchez,deja,Undirected
deja,gobierne,Undirected
gobierne,lista,Undirected
lista,votada,Undirected
votada,españa,Undirected
españa,sanchez,Undirected
sanchez,terminará,Undirected
terminará,engañando,Undirected
engañando,feijó,Undirected
feijó,tiempo,Undirected
espero,equivoque,Undirected
equivoque,sánchez,Undirected
sánchez,matará,Undirected
matará,psoe,Undirected
psoe,ojalá,Undirected
pagan,cosas,Undirected
cosas,seguramente,Undirected
seguramente,xd,Undirected
prohibido,quejarse,Undirected
quejarse,neofascismo,Undirected
neofascismo,gastais,Undirected
gastais,izquierda,Undirected
izquierda,miedo,Undirected
conozco,vox,Undirected
vox,antiautonomías,Undirected
digo,digo,Undirected
digo,justificar,Undirected
justificar,injustificable,Undirected
injustificable,cargo,Undirected
cargo,sanidad,Undirected
sanidad,privatizo,Undirected
privatizo,cabeza,Undirected
cabeza,creas,Undirected
creas,algu,Undirected
algu,pobre,Undirected
pobre,borrego,Undirected
borrego,comerá,Undirected
comerá,patatas,Undirected
sos,triste,Undirected
triste,castilla,Undirected
castilla,león,Undirected
león,convertido,Undirected
convertido,tierras,Undirected
tierras,expolio,Undirected
expolio,sinvergüenzas,Undirected
sinvergüenzas,aprovechados,Undirected
aprovechados,caraduras,Undirected
caraduras,indocumentados,Undirected
indocumentados,ignorantes,Undirected
ignorantes,incultos,Undirected
incultos,guardar,Undirected
guardar,vergonzoso,Undirected
vergonzoso,comentario,Undirected
comentario,evitar,Undirected
evitar,niegue,Undirected
niegue,haberlo,Undirected
ves,listado,Undirected
listado,países,Undirected
países,regulaciones,Undirected
regulaciones,saca,Undirected
saca,banco,Undirected
banco,mundial,Undirected
mundial,años,Undirected
años,vas,Undirected
vas,países,Undirected
países,desregulados,Undirected
desregulados,igualitarios,Undirected
igualitarios,vive,Undirected
vive,mejores,Undirected
mejores,condiciones,Undirected
condiciones,países,Undirected
países,regulaciones,Undirected
regulaciones,vive,Undirected
debería,reproducírse,Undirected
programa,electoral,Undirected
electoral,documento,Undirected
documento,llamaron,Undirected
llamaron,medidas,Undirected
medidas,españa,Undirected
españa,web,Undirected
web,vox,Undirected
manda,tmb,Undirected
tmb,marroquíes,Undirected
mariquitas,derechos,Undirected
derechos,gobierna,Undirected
gobierna,psoeta,Undirected
coincide,discriminacion,Undirected
discriminacion,positiva,Undirected
regresiva,q,Undirected
q,caducidad,Undirected
caducidad,tramite,Undirected
tramite,recaudatorio,Undirected
recaudatorio,pierden,Undirected
pierden,valides,Undirected
valides,caso,Undirected
caso,jasmin,Undirected
jasmin,mandato,Undirected
mandato,judicial,Undirected
judicial,imponer,Undirected
imponer,pena,Undirected
pena,retirar,Undirected
retirar,titulo,Undirected
titulo,registro,Undirected
registro,cancelar,Undirected
cancelar,cédula,Undirected
cédula,profesional,Undirected
profesional,requiere,Undirected
requiere,juicio,Undirected
juicio,sentencia,Undirected
qual,pp,Undirected
shuuuma,vergüenza,Undirected
vergüenza,equivocaba,Undirected
equivocaba,caer,Undirected
caer,hazles,Undirected
hazles,representantes,Undirected
representantes,vergüenza,Undirected
izquierda,apoyando,Undirected
apoyando,entrada,Undirected
entrada,masiva,Undirected
masiva,culturas,Undirected
culturas,odian,Undirected
odian,mujer,Undirected
mujer,rebajando,Undirected
rebajando,condenas,Undirected
condenas,violadores,Undirected
violadores,iros,Undirected
iros,mierda,Undirected
mierda,hombre,Undirected
hombre,peligro,Undirected
peligro,mujer,Undirected
protocolo,existía,Undirected
existía,gobierno,Undirected
gobierno,pp,Undirected
pp,cago,Undirected
cago,costumbre,Undirected
costumbre,gorila,Undirected
gorila,rojo,Undirected
rojo,sexta,Undirected
sexta,empezó,Undirected
empezó,criticar,Undirected
hora,messi,Undirected
messi,pity,Undirected
pity,martínez,Undirected
martínez,jugando,Undirected
jugando,partido,Undirected
partido,gallardo,Undirected
gallardo,dt,Undirected
financia,apoya,Undirected
apoya,españa,Undirected
españa,conocemos,Undirected
conocemos,hazte,Undirected
hazte,oír,Undirected
oír,asociaciones,Undirected
asociaciones,dinero,Undirected
dinero,vox,Undirected
vox,prinicpal,Undirected
prinicpal,fuente,Undirected
fuente,ingresos,Undirected
ingresos,gracioso,Undirected
gracioso,pensar,Undirected
pensar,dinero,Undirected
dinero,propaganda,Undirected
propaganda,fascista,Undirected
fascista,viene,Undirected
viene,xd,Undirected
pegó,querian,Undirected
querian,igualdad,Undirected
diferencia,ventaja,Undirected
ventaja,deportiva,Undirected
deportiva,favor,Undirected
favor,igualdad,Undirected
igualdad,condiciones,Undirected
condiciones,jamás,Undirected
jamás,vió,Undirected
interesa,vox,Undirected
vox,juego,Undirected
juego,quieren,Undirected
quieren,chiringuito,Undirected
chiringuito,partidos,Undirected
partidos,toca,Undirected
toca,tí,Undirected
tí,toca,Undirected
toca,llevarse,Undirected
llevarse,dinero,Undirected
argumento,derecho,Undirected
derecho,debería,Undirected
debería,entenderlo,Undirected
entenderlo,ambas,Undirected
ambas,entiende,Undirected
entiende,práctica,Undirected
práctica,judicial,Undirected
judicial,hora,Undirected
hora,aplicar,Undirected
aplicar,penas,Undirected
penas,acorde,Undirected
acorde,derecho,Undirected
derecho,caso,Undirected
caso,concreto,Undirected
dirán,debates,Undirected
debates,estériles,Undirected
estériles,refuerza,Undirected
refuerza,sanchez,Undirected
sanchez,mamarrachada,Undirected
astro,argentino,Undirected
argentino,portugués,Undirected
portugués,miden,Undirected
miden,jueves,Undirected
jueves,partido,Undirected
partido,amistoso,Undirected
amistoso,hora,Undirected
hora,tv,Undirected
tv,historial,Undirected
digo,sectarismo,Undirected
sectarismo,descontrolado,Undirected
iglesia,años,Undirected
años,corrompida,Undirected
corrompida,tapan,Undirected
tapan,boca,Undirected
boca,dinero,Undirected
hubieran,cojones,Undirected
cojones,hubieran,Undirected
hubieran,añadido,Undirected
añadido,coletilla,Undirected
coletilla,veraces,Undirected
veraces,alfonso,Undirected
alfonso,veo,Undirected
veo,vuelves,Undirected
vuelves,contar,Undirected
contar,goles,Undirected
goles,benzema,Undirected
benzema,eufórico,Undirected
eufórico,visto,Undirected
susun,corda,Undirected
corda,decide,Undirected
decide,mujeres,Undirected
mujeres,grita,Undirected
grita,aborto,Undirected
aborto,derecho,Undirected
derecho,obligación,Undirected
obligación,valorar,Undirected
valorar,cuerpo,Undirected
cuerpo,mujer,Undirected
mujer,decide,Undirected
ex,pablo,Undirected
pablo,iglesias,Undirected
iglesias,normalizar,Undirected
normalizar,insulto,Undirected
insulto,aclaran,Undirected
juan,espadas,Undirected
espadas,pp,Undirected
pp,mayoría,Undirected
mayoría,absoluta,Undirected
absoluta,subido,Undirected
subido,cabeza,Undirected
cabeza,demostración,Undirected
demostración,gráfica,Undirected
gráfica,queda,Undirected
queda,populismo,Undirected
populismo,frikismo,Undirected
frikismo,moreno,Undirected
moreno,bonilla,Undirected
bonilla,paso,Undirected
paso,talla,Undirected
votos,contaron,Undirected
contaron,españa,Undirected
quiero,citar,Undirected
citar,copiado,Undirected
copiado,vídeo,Undirected
vídeo,tweet,Undirected
tweet,espacio,Undirected
espacio,suficiente,Undirected
vox,defiende,Undirected
defiende,imperio,Undirected
imperio,español,Undirected
español,forjo,Undirected
forjo,invasiones,Undirected
invasiones,violaciones,Undirected
violaciones,hiciesemos,Undirected
hiciesemos,imperios,Undirected
imperios,quita,Undirected
quita,origenes,Undirected
origenes,indigenas,Undirected
indigenas,unieron,Undirected
unieron,voluntariamente,Undirected
despenalizacion,aborto,Undirected
aborto,motivos,Undirected
motivos,ideologicos,Undirected
ideologicos,obligado,Undirected
obligado,mujeres,Undirected
mujeres,parir,Undirected
parir,situacion,Undirected
cuestión,perspectiva,Undirected
perspectiva,diría,Undirected
diría,vox,Undirected
vox,perdido,Undirected
perdido,tío,Undirected
tío,fede,Undirected
fede,votos,Undirected
repugnante,campaña,Undirected
campaña,pp,Undirected
pp,acertado,Undirected
pp,poniendo,Undirected
poniendo,condiciones,Undirected
condiciones,vergüenza,Undirected
enfade,sr,Undirected
sr,sánchez,Undirected
sánchez,vuelva,Undirected
vuelva,cortar,Undirected
cortar,grifo,Undirected
grifo,asco,Undirected
asco,bipartidismo,Undirected
bipartidismo,tapándose,Undirected
tapándose,responsables,Undirected
responsables,haga,Undirected
haga,justicia,Undirected
hablábamos,casado,Undirected
casado,mendigo,Undirected
mendigo,intelectual,Undirected
intelectual,gallardo,Undirected
gallardo,aventaja,Undirected
entiendo,pro,Undirected
pro,vida,Undirected
vida,defender,Undirected
defender,dchos,Undirected
dchos,celula,Undirected
celula,cigótica,Undirected
cigótica,cm,Undirected
cm,hablamos,Undirected
hablamos,vida,Undirected
vida,familia,Undirected
familia,migrante,Undirected
migrante,recurres,Undirected
recurres,argumentos,Undirected
argumentos,falaces,Undirected
falaces,falta,Undirected
falta,administra,Undirected
administra,q,Undirected
q,delito,Undirected
delito,negarle,Undirected
negarle,atención,Undirected
atención,sanitaria,Undirected
sanitaria,iros,Undirected
iros,mierda,Undirected
mierda,hipócritas,Undirected
mujer,acudió,Undirected
acudió,marcha,Undirected
marcha,favor,Undirected
favor,aborto,Undirected
aborto,bebé,Undirected
bebé,brazos,Undirected
brazos,vientre,Undirected
vientre,meses,Undirected
meses,vientre,Undirected
vientre,escrito,Undirected
escrito,humano,Undirected
humano,opinan,Undirected
aceptamos,intenten,Undirected
intenten,engañar,Undirected
engañar,metro,Undirected
metro,sevilla,Undirected
sevilla,quiero,Undirected
quiero,red,Undirected
red,completa,Undirected
completa,metro,Undirected
metro,ninguneo,Undirected
ninguneo,años,Undirected
años,debate,Undirected
debate,cristinaalcaldesa,Undirected
sh,amigo,Undirected
amigo,dé,Undirected
dé,manito,Undirected
estaría,saliendo,Undirected
saliendo,kuka,Undirected
kuka,municipio,Undirected
municipio,karadura,Undirected
pp,construyendo,Undirected
construyendo,discurso,Undirected
discurso,partes,Undirected
partes,derivado,Undirected
derivado,intentos,Undirected
intentos,golpe,Undirected
golpe,irresponsables,Undirected
cientos,miles,Undirected
miles,euros,Undirected
euros,publicidad,Undirected
publicidad,paga,Undirected
paga,comunidad,Undirected
comunidad,madrid,Undirected
gente,estúpida,Undirected
mira,asesinato,Undirected
asesinato,utilizan,Undirected
utilizan,interrupción,Undirected
interrupción,voluntaria,Undirected
voluntaria,aborto,Undirected
aborto,creen,Undirected
creen,suave,Undirected
suave,interrumpe,Undirected
interrumpe,reanudarse,Undirected
reanudarse,asesinato,Undirected
asesinato,entra,Undirected
entra,circunstancia,Undirected
tran,tran,Undirected
tran,momento,Undirected
momento,sábado,Undirected
sábado,colón,Undirected
opino,cojones,Undirected
cojones,decirle,Undirected
decirle,mujer,Undirected
mujer,cuerpo,Undirected
empecemos,denunciar,Undirected
denunciar,pelmazos,Undirected
pelmazos,desinformar,Undirected
flipo,bro,Undirected
bro,presenta,Undirected
presenta,generales,Undirected
generales,puto,Undirected
puto,pp,Undirected
pp,frijolito,Undirected
frijolito,ida,Undirected
ida,impresión,Undirected
impresión,pasa,Undirected
pasa,rajando,Undirected
rajando,gobierno,Undirected
gobierno,tienes,Undirected
tienes,entretenerte,Undirected
entretenerte,miserable,Undirected
miserable,autora,Undirected
autora,protocolos,Undirected
protocolos,muerte,Undirected
cambien,montero,Undirected
montero,garzón,Undirected
garzón,empezar,Undirected
programa,oficial,Undirected
oficial,mostrado,Undirected
mostrado,entiendo,Undirected
entiendo,común,Undirected
común,prestan,Undirected
prestan,atención,Undirected
atención,seriedad,Undirected
seriedad,demuestran,Undirected
