Source,Target,Type
derecha,cobarde,Undirected
cobarde,acomplejada,Undirected
acomplejada,moleste,Undirected
moleste,dejen,Undirected
dejen,trabajar,Undirected
tuit,broma,Undirected
importa,messi,Undirected
messi,enfoquen,Undirected
enfoquen,gallardo,Undirected
resumen,cambiar,Undirected
cambiar,ley,Undirected
ley,permitiendo,Undirected
permitiendo,jueces,Undirected
jueces,fascistas,Undirected
fascistas,cometan,Undirected
cometan,aberraciones,Undirected
aberraciones,suda,Undirected
suda,diga,Undirected
diga,razonable,Undirected
razonable,reconocer,Undirected
reconocer,fallo,Undirected
fallo,diferencia,Undirected
diferencia,gentuza,Undirected
gentuza,vox,Undirected
ospina,lesionado,Undirected
lesionado,gravedad,Undirected
abascal,acusa,Undirected
acusa,feijóo,Undirected
feijóo,impulsar,Undirected
impulsar,cordón,Undirected
cordón,sanitario,Undirected
sanitario,vox,Undirected
vox,buscar,Undirected
buscar,ruptura,Undirected
ruptura,gobierno,Undirected
gobierno,castilla,Undirected
castilla,león,Undirected
león,via,Undirected
echar,loca,Undirected
loca,déspota,Undirected
abascal,buscando,Undirected
buscando,pretextos,Undirected
pretextos,presentar,Undirected
presentar,moción,Undirected
moción,censura,Undirected
censura,fracasar,Undirected
correcta,respuesta,Undirected
respuesta,abascal,Undirected
abascal,vox,Undirected
vox,actuado,Undirected
actuado,honradez,Undirected
honradez,coherencia,Undirected
gastar,guita,Undirected
salga,foto,Undirected
foto,lionel,Undirected
lionel,andrés,Undirected
andrés,messi,Undirected
messi,marcelo,Undirected
marcelo,daniel,Undirected
daniel,gallardo,Undirected
gallardo,acabaré,Undirected
acabaré,aviso,Undirected
experiencia,grado,Undirected
grado,sugiero,Undirected
sugiero,encuesta,Undirected
encuesta,consumidores,Undirected
consumidores,camellos,Undirected
camellos,verá,Undirected
verá,prefieren,Undirected
prefieren,legalización,Undirected
legalización,razón,Undirected
razón,aficionados,Undirected
aficionados,velocidad,Undirected
velocidad,preferimos,Undirected
preferimos,redares,Undirected
redares,represión,Undirected
represión,prohibición,Undirected
prohibición,reduce,Undirected
reduce,consumo,Undirected
habria,remix,Undirected
querida,ignorante,Undirected
ignorante,cañada,Undirected
cañada,real,Undirected
real,extiende,Undirected
extiende,ancho,Undirected
ancho,municipios,Undirected
municipios,gobierna,Undirected
gobierna,pp,Undirected
pp,municipios,Undirected
municipios,gobierna,Undirected
gobierna,psoe,Undirected
psoe,pd,Undirected
pd,canaliza,Undirected
canaliza,ignorancia,Undirected
ignorancia,demagogia,Undirected
demagogia,barata,Undirected
barata,adecuadamente,Undirected
adecuadamente,ridículo,Undirected
ridículo,gracias,Undirected
inquietudes,espiritas,Undirected
espiritas,vueltas,Undirected
vueltas,aborto,Undirected
suena,american,Undirected
american,history,Undirected
history,x,Undirected
x,pondría,Undirected
pondría,boca,Undirected
boca,mujer,Undirected
mujer,digo,Undirected
digo,iba,Undirected
iba,q,Undirected
q,fascista,Undirected
fascista,descerebrado,Undirected
sacrificar,siesta,Undirected
siesta,x,Undirected
x,verlo,Undirected
verlo,dirigir,Undirected
dirigir,gallardo,Undirected
cuéntales,habéis,Undirected
habéis,ley,Undirected
ley,permite,Undirected
permite,excarcelar,Undirected
excarcelar,violadores,Undirected
gallardo,afecta,Undirected
afecta,partido,Undirected
partido,choto,Undirected
choto,llevo,Undirected
llevo,tarasca,Undirected
tarasca,gana,Undirected
gana,combinado,Undirected
combinado,españoles,Undirected
españoles,mexicanos,Undirected
mexicanos,dolidos,Undirected
dolidos,usarlo,Undirected
usarlo,excusa,Undirected
excusa,infumables,Undirected
infumables,prefiero,Undirected
prefiero,gane,Undirected
gane,leo,Undirected
leo,pity,Undirected
pity,meta,Undirected
meta,descuento,Undirected
entiendo,vuelta,Undirected
vuelta,pp,Undirected
pp,apafuegos,Undirected
apafuegos,bronkas,Undirected
bicho,llamó,Undirected
llamó,acercarse,Undirected
acercarse,puesto,Undirected
puesto,vox,Undirected
vox,creyese,Undirected
creyese,democracia,Undirected
democracia,pluralidad,Undirected
pluralidad,respeto,Undirected
respeto,ideas,Undirected
ideas,demas,Undirected
demas,queda,Undirected
queda,democrata,Undirected
democrata,altura,Undirected
altura,pasando,Undirected
pasando,gusta,Undirected
gusta,venden,Undirected
venden,tienda,Undirected
concejal,adscrito,Undirected
adscrito,ex,Undirected
ex,vox,Undirected
vox,reconocer,Undirected
reconocer,valentía,Undirected
valentía,presentar,Undirected
presentar,presupuestos,Undirected
presupuestos,meses,Undirected
meses,elecciones,Undirected
elecciones,teniendo,Undirected
teniendo,sentido,Undirected
sentido,voto,Undirected
voto,cualquiera,Undirected
cualquiera,votaciones,Undirected
votaciones,legislatura,Undirected
legislatura,calificaría,Undirected
calificaría,acto,Undirected
acto,valentía,Undirected
decirle,cosas,Undirected
cosas,diré,Undirected
diré,cabeza,Undirected
rehuso,gallardo,Undirected
gallardo,dirigir,Undirected
dirigir,equipo,Undirected
equipo,river,Undirected
curioso,dijiste,Undirected
dijiste,aprobaste,Undirected
aprobaste,ley,Undirected
ley,infraestructura,Undirected
infraestructura,crítica,Undirected
ojalá,parlament,Undirected
parlament,catalunya,Undirected
catalunya,libertad,Undirected
libertad,partidos,Undirected
partidos,representar,Undirected
representar,votantes,Undirected
votantes,igualdad,Undirected
igualdad,condiciones,Undirected
sangrante,caso,Undirected
caso,votante,Undirected
votante,comunista,Undirected
comunista,países,Undirected
países,esquilmados,Undirected
esquilmados,gente,Undirected
gente,asesinada,Undirected
asesinada,centenares,Undirected
centenares,millones,Undirected
millones,propiedad,Undirected
propiedad,privada,Undirected
privada,destruida,Undirected
destruida,libertades,Undirected
libertades,ignoradas,Undirected
ignoradas,ruina,Undirected
ruina,moral,Undirected
moral,económica,Undirected
económica,verificar,Undirected
verificar,tuvieron,Undirected
tuvieron,construir,Undirected
construir,huyeran,Undirected
ministerio,igualdad,Undirected
igualdad,pavimental,Undirected
pavimental,anti,Undirected
anti,vioruedas,Undirected
pinché,sangrado,Undirected
sangrado,normal,Undirected
normal,aborto,Undirected
vuelve,dirigir,Undirected
dirigir,marcelo,Undirected
marcelo,daniel,Undirected
daniel,gallardo,Undirected
habría,sueldos,Undirected
sueldos,selección,Undirected
libertad,deriva,Undirected
deriva,nutre,Undirected
nutre,cooperación,Undirected
cooperación,voluntaria,Undirected
voluntaria,competencia,Undirected
competencia,presentes,Undirected
presentes,naturaleza,Undirected
naturaleza,vida,Undirected
vida,conocemos,Undirected
conocemos,imponer,Undirected
imponer,cooperación,Undirected
cooperación,obligatoria,Undirected
obligatoria,igualdad,Undirected
igualdad,requiere,Undirected
requiere,fuerza,Undirected
objetivo,imponer,Undirected
imponer,absoluta,Undirected
absoluta,cooperación,Undirected
cooperación,obligatoria,Undirected
obligatoria,igualdad,Undirected
igualdad,falta,Undirected
falta,fuerza,Undirected
fuerza,absolutos,Undirected
absolutos,desarrollarse,Undirected
desarrollarse,técnica,Undirected
técnica,sofisticación,Undirected
años,psoe,Undirected
psoe,pedro,Undirected
pedro,sánchez,Undirected
sánchez,pp,Undirected
pp,colaborador,Undirected
colaborador,necesario,Undirected
necesario,tendremos,Undirected
tendremos,zapatero,Undirected
zapatero,cumpliendo,Undirected
cumpliendo,sueño,Undirected
sueño,entregar,Undirected
entregar,media,Undirected
media,españa,Undirected
españa,marruecos,Undirected
vox,cambiar,Undirected
cambiar,políticas,Undirected
políticas,izquierda,Undirected
izquierda,pp,Undirected
pp,cambio,Undirected
cambio,mantenerlas,Undirected
mantenerlas,políticas,Undirected
políticas,partido,Undirected
partido,globalista,Undirected
globalista,ley,Undirected
ley,cifuentes,Undirected
cifuentes,trans,Undirected
trans,lees,Undirected
lees,crees,Undirected
crees,psoe,Undirected
psoe,cam,Undirected
cam,pp,Undirected
salud,república,Undirected
podemitas,xd,Undirected
voto,verde,Undirected
verde,esperanza,Undirected
esperanza,vox,Undirected
vox,únicos,Undirected
únicos,frente,Undirected
frente,lucen,Undirected
lucen,orgullo,Undirected
orgullo,bandera,Undirected
bandera,raices,Undirected
raices,patria,Undirected
patria,espero,Undirected
espero,gobiernen,Undirected
gobiernen,vuelvan,Undirected
vuelvan,resto,Undirected
resto,politicos,Undirected
pp,vota,Undirected
vota,resolución,Undirected
resolución,eurocámara,Undirected
eurocámara,apunta,Undirected
apunta,marruecos,Undirected
marruecos,trama,Undirected
trama,sobornos,Undirected
sobornos,vía,Undirected
problema,munológico,Undirected
munológico,hijaputez,Undirected
hijaputez,congénita,Undirected
violencia,vicaria,Undirected
vicaria,política,Undirected
jugando,dictadores,Undirected
messi,gallardo,Undirected
gallardo,pity,Undirected
pity,ronaldo,Undirected
ronaldo,lindo,Undirected
lindo,partido,Undirected
partido,leyendas,Undirected
dificultad,hijos,Undirected
hijos,estudien,Undirected
estudien,cataluña,Undirected
basta,cifras,Undirected
cifras,abortos,Undirected
abortos,años,Undirected
años,legalización,Undirected
legalización,posterior,Undirected
posterior,aumento,Undirected
aumento,exponencial,Undirected
exponencial,intuir,Undirected
intuir,anterioridad,Undirected
anterioridad,practicaban,Undirected
sanchez,paro,Undirected
paro,pp,Undirected
pp,sanchez,Undirected
sanchez,precio,Undirected
precio,energía,Undirected
energía,pp,Undirected
pp,sanchez,Undirected
sanchez,legislaturas,Undirected
legislaturas,pge,Undirected
pge,pp,Undirected
pp,sanchez,Undirected
sanchez,afiliación,Undirected
afiliación,ss,Undirected
ss,pp,Undirected
pp,sanchez,Undirected
sanchez,referemdums,Undirected
referemdums,ilegales,Undirected
ilegales,pp,Undirected
perra,abandona,Undirected
abandona,cachorro,Undirected
cachorro,palabra,Undirected
palabra,perra,Undirected
perra,queda,Undirected
queda,q,Undirected
q,clase,Undirected
clase,loc,Undirected
loc,gente,Undirected
cosa,espabilado,Undirected
espabilado,cojones,Undirected
cojones,gente,Undirected
gente,vox,Undirected
vox,ciudadanos,Undirected
ciudadanos,pp,Undirected
pp,sale,Undirected
sale,dinero,Undirected
dinero,ayudan,Undirected
meo,pp,Undirected
pp,luchando,Undirected
luchando,blanqueo,Undirected
blanqueo,podían,Undirected
podían,empezar,Undirected
empezar,comisiones,Undirected
comisiones,hermanisimo,Undirected
asesinos,mafiosos,Undirected
mafiosos,contrabandistas,Undirected
contrabandistas,puteros,Undirected
puteros,maltratadores,Undirected
maltratadores,anda,Undirected
anda,juego,Undirected
juego,entienden,Undirected
juega,pity,Undirected
elites,aprovechan,Undirected
aprovechan,pueblo,Undirected
pueblo,mayormente,Undirected
mayormente,gusta,Undirected
gusta,morbo,Undirected
morbo,hipocresia,Undirected
hipocresia,conciencia,Undirected
conciencia,mirad,Undirected
mirad,francia,Undirected
francia,huelgas,Undirected
huelgas,decimos,Undirected
decimos,pio,Undirected
años,sufriendo,Undirected
sufriendo,frankenstein,Undirected
frankenstein,sánchez,Undirected
crece,aprobación,Undirected
aprobación,ciudadana,Undirected
ciudadana,gobernador,Undirected
gobernador,ricardo,Undirected
ricardo,gallardo,Undirected
gallardo,cardona,Undirected
cardona,slp,Undirected
slp,economista,Undirected
pp,lpb,Undirected
lpb,votre,Undirected
votre,tl,Undirected
cosas,quiero,Undirected
quiero,presidente,Undirected
señora,deje,Undirected
deje,desearle,Undirected
desearle,muerte,Undirected
muerte,suegro,Undirected
suegro,nota,Undirected
sigan,castilla,Undirected
castilla,león,Undirected
león,ppeijóo,Undirected
ppeijóo,pparrake,Undirected
pparrake,impputacion,Undirected
impputacion,ppodridos,Undirected
ppodridos,po,Undirected
po,financiación,Undirected
financiación,ilegal,Undirected
ilegal,mañueco,Undirected
mañueco,salamanca,Undirected
salamanca,abre,Undirected
abre,frente,Undirected
frente,castilla,Undirected
castilla,león,Undirected
león,pp,Undirected
pp,feijóo,Undirected
feijóo,vía,Undirected
chanchez,vote,Undirected
vote,txapote,Undirected
txapote,pp,Undirected
pp,m,Undirected
ciudadanos,subiendo,Undirected
subiendo,único,Undirected
único,subido,Undirected
subido,alcohol,Undirected
alcohol,cabeza,Undirected
partido,messi,Undirected
messi,cristiano,Undirected
cristiano,dirigir,Undirected
dirigir,gallardo,Undirected
gallardo,jugar,Undirected
jugar,pity,Undirected
pity,jajsbajjsjsbsks,Undirected
gallardo,juega,Undirected
juega,zuculini,Undirected
messi,neymar,Undirected
neymar,mbappé,Undirected
mbappé,gallardo,Undirected
gallardo,vs,Undirected
vs,cristiano,Undirected
cristiano,pity,Undirected
pity,martínez,Undirected
martínez,chico,Undirected
chico,pes,Undirected
pes,moviendo,Undirected
moviendo,jugadores,Undirected
jugadores,show,Undirected
